OBJECTID,EASTING,NORTHING
1059,544358,184110
1060,544463,184068
1061,544402,184268
1062,544402,184268
1063,544463,184068
1064,544317,184029
1065,544463,184068
1066,544438,184163
1067,544358,184110
1068,544206,184210
1069,544463,184068
1070,544438,184163
1071,544438,184163
1072,544402,184268
1073,544261,184317
1074,544438,184163
1075,544358,184110
1076,544146,183980
1077,544463,184068
1078,544372,183887
1079,544206,184210
1080,544403,184083
1081,544358,184110
1082,544273,183777
1083,544402,184268
1084,544438,184163
1085,544358,184110
1086,544146,183980
1087,544317,184029
1088,544402,184268
1089,544482,184222
1090,544438,184163
1091,544146,183980
1092,544438,184163
1093,544446,183973
1094,544273,183777
1095,544402,184268
1096,544438,184163
1097,544317,184029
1098,544150,184067
1099,544150,184067
1100,544402,184268
1101,544358,184110
1102,544150,184067
1103,544358,184110
1104,544403,184083
1105,544273,183777
1106,544438,184163
1107,544273,183777
1108,544438,184163
1109,544438,184163
1110,544403,184083
1111,544438,184163
1112,544438,184163
1113,544402,184268
1114,544358,184110
1115,544146,183980
1116,544446,183973
1117,544438,184163
1118,544438,184163
1119,544317,184029
1120,544438,184163
1121,544438,184163
1122,544438,184163
1123,544438,184163
1124,544358,184110
1125,544146,183980
1126,544403,184083
1127,544358,184110
1128,544402,184268
1129,544438,184163
1130,544358,184110
1131,544261,184317
1132,544150,184067
1133,544150,184067
1134,544206,184210
1135,544446,183973
1136,544358,184110
1137,544438,184163
1138,544402,184268
1139,544402,184268
1140,544446,183973
1141,544446,183973
1142,544446,183973
1143,544438,184163
1144,544446,183973
1145,544206,184210
1146,544446,183973
1147,544206,184210
1148,544358,184110
1149,544358,184110
1150,544443,184277
1151,544273,183777
1152,544358,184110
1153,543758,184574
1154,544133,184708
1155,543758,184574
1156,543758,184574
1157,543719,184672
1158,544133,184708
1159,543719,184672
1160,544098,184636
1161,543971,184786
1162,543971,184786
1163,544098,184636
1164,543950,184705
1165,543719,184672
1166,543981,184709
1167,543971,184786
1168,543971,184786
1169,543859,184786
1170,543981,184709
1171,544098,184636
1172,544098,184636
1173,544961,184453
1174,544840,184219
1175,544807,184269
1176,544814,184342
1177,544481,184526
1178,544589,184375
1179,544481,184526
1180,544629,184551
1181,544720,184517
1182,544629,184551
1183,544629,184551
1184,544629,184551
1185,544481,184526
1186,544510,184416
1187,544510,184416
1188,544510,184416
1189,544510,184416
1190,544629,184551
1191,544629,184551
1192,544629,184551
1193,544640,184334
1194,544481,184526
1195,544510,184416
1196,544640,184334
1197,544394,184580
1198,544510,184416
1199,544589,184375
1200,544720,184517
1201,544729,184372
1202,544629,184551
1203,544629,184551
1204,544629,184551
1205,544629,184551
1206,544453,184699
1207,544200,184828
1208,544200,184828
1209,544487,184758
1210,544487,184758
